event_date,user_pseudo_id,item_name,session_id,session_engaged,engagement_time_seconds
20221205,1798014369.1647494382,,1670244903,1,2.072
20221205,265491745.1670236451,,1670236454,1,110.934
20221205,1533108908.1670240649,,1670240648,0,4.946
20221205,265491745.1670236451,,1670242019,1,257.109
20221205,89515559.1670242321,,1670242320,1,66.273
20221205,424241042.1670226808,,1670226807,0,5.501
20221205,1836284269.1670227271,,1670227271,1,
20221205,773386044.1670238708,,1670238707,0,
20221205,223608285.1651834754,,1670245198,0,
20221205,851173320.1670235327,,1670235327,0,
20221205,355583014.1670231763,,1670231762,0,
20221205,1149287039.1670309937,,1670309936,0,
20221205,112612378.1670288283,,,,
20221205,651736734.1670274184,,1670284741,0,
20221205,430805877.1670298622,,1670298622,0,
20221205,1722771055.1670294762,,1670294762,0,
20221205,1667413157.1666636215,,1670300763,0,
20221205,600005939.1670295728,,1670295727,1,24.559
20221205,453443118.1670291111,,1670291110,0,
20221205,720170335.1670300335,,1670300335,1,16.034
20221205,1408645294.1670288328,,1670288327,0,
20221205,112612378.1670288283,,1670288282,1,75.271
20221205,1162601645.1670288441,,1670288441,1,5.502
20221205,1371689807.1669686442,,1670285521,1,3.213
20221205,55164222.1670142464,,1670290652,1,8.507
20221205,1628103256.1670306020,,1670306020,0,1.773
20221205,2140637015.1670308416,,1670308415,0,
20221205,1134932592.1670282437,,1670282437,0,
20221205,1545244650.1670274142,,1670274141,1,29.618
20221205,1199916647.1670276751,,1670276750,1,8.351
20221205,536622625.1670280235,,1670280234,0,1.115
20221205,376554964.1670264656,,1670264656,0,
20221205,2117312615.1670264675,,1670264674,1,19.386
20221205,451209595.1670266799,,1670266799,0,
20221205,776411716.1670267474,,1670267473,0,
20221205,1195124748.1670268959,,1670268958,0,
20221205,651736734.1670274184,,1670280987,0,
20221205,1615166880.1670274171,,1670274171,0,
20221205,651736734.1670274184,,1670274183,0,
20221205,429894925.1670277250,,1670277249,0,3.273
20221205,2121064112.1670277464,,1670277463,1,17.917
20221205,1626105827.1670262250,,1670265460,0,
20221205,532381032.1659384942,,1670274421,0,7.965
20221205,611729872.1668006187,,1670269231,0,4.822
20221205,1608648711.1666637710,,1670270479,0,
20221205,1371689807.1669686442,,1670271145,1,71.606
20221205,267314288.1668564232,,1670277458,0,3.751
20221205,1604069233.1669129981,,1670281125,0,2.946
20221205,1183204064.1667052059,,,,
20221205,1798014369.1647494382,,1670253522,0,
20221205,1749573473.1670248506,,1670248505,1,36.792
20221205,372487162.1670251795,,1670251796,1,21.611
20221205,1359009841.1670256955,,1670256955,1,11.765
20221205,1519958484.1670253137,,1670253137,1,10.065
20221205,533557671.1668215526,,1670259325,0,
20221205,1626105827.1670262250,,1670262250,0,
20221205,1183204064.1667052059,,1670262378,1,8.06
20221205,147454401.1670262399,,1670262398,0,
20221205,2147212475.1670258506,,1670258506,0,4.608
20221205,322687986.1670262578,,1670262577,0,
20221205,2010024387.1670263149,,1670263148,0,
20221205,1538717295.1670252186,,1670252185,1,15.618
20221205,912728040.1670253095,,1670253095,1,6.841
20221205,1541797401.1670252128,,1670252128,0,
20221205,1166512330.1670260943,,1670260942,0,
20221204,1420785765.1670137801,,1670137801,0,6.606
20221204,1564781935.1670183020,,1670183020,0,
20221204,745080538.1670158278,,1670158277,1,142.289
20221204,1276944400.1670167543,,1670167543,0,
20221204,215443130.1670162193,,1670162192,0,
20221204,55164222.1670142464,,1670142464,1,13.15
20221204,300312591.1670174714,,1670182011,0,8.173
20221204,300312591.1670174714,,1670174714,1,13.547
20221204,1371179270.1670198437,,1670198437,1,109.697
20221204,2113845289.1670198747,,1670198746,0,2.533
20221204,896727495.1670206450,,1670206450,1,21.06
20221204,1600356229.1670177184,,1670177184,1,12.243
20221204,1732433398.1670195239,,1670195239,0,0.736
20221204,546896368.1670198399,,1670198399,0,
20221204,653747657.1670212276,,1670212275,0,
20221204,513218605.1670178961,,1670178961,0,
20221204,1218051532.1670141949,,1670141949,0,
20221204,631423479.1670180970,,1670180970,0,
20221204,429727327.1670187461,,1670187461,1,8.328
20221204,786616691.1670173675,,1670173675,0,
20221204,983413818.1670187436,,1670187436,0,2.232
20221204,133639850.1670185118,,1670185118,1,
20221204,702458485.1670193757,,1670193757,1,42.266
20221204,607854416.1670194742,,1670194741,0,
20221204,1297493458.1670200287,,1670200287,0,
20221204,1069555642.1670192803,,1670192803,0,2.79
20221204,1187458540.1670197850,,1670197850,0,
20221204,819789203.1670212060,,1670212060,0,
20221204,1363123191.1665461840,,1670205673,1,116.806
20221204,1187266720.1670148905,,1670155052,1,68.576
20221204,1187266720.1670148905,,1670148830,1,467.065
20221204,1288989983.1670166293,,1670166292,0,6.281
20221204,594384866.1670166898,,1670166898,0,3.064
20221204,1618439729.1670177718,,1670177718,1,9.905
20221204,599565782.1670193600,,1670193599,1,168.983
20221204,2031601.1662272810,,1670142884,1,56.059
20221204,2031601.1662272810,,1670192625,1,33.393
20221204,2031601.1662272810,,1670194935,1,14.987
20221204,2031601.1662272810,,1670207824,1,4.031
20221204,2031601.1662272810,,1670203994,1,6.437
20221204,925464188.1668051022,,1670207296,0,2.844
20221204,317303208.1650988456,,1670182002,1,16.44
20221204,1049128397.1669676457,,1670183136,0,
20221204,1608648711.1666637710,,1670198160,1,5.968
20221204,418137811.1669631050,,1670216994,0,
20221204,903243264.1670083231,,1670195327,0,
20221204,1373569407.1667770375,,1670216580,1,1.433
20221204,533557671.1668215526,,1670220514,1,15.429
20221203,1200088293.1670083408,,1670083407,0,
20221203,1295377765.1670055976,,1670055976,1,34.505
20221203,1295377765.1670055976,,1670057985,0,
20221203,2031601.1662272810,,1670118267,1,4.528
20221203,2031601.1662272810,,1670124655,1,9.635
